variable,n_missing
irrigated_production,977
non_irrigated_production,977
irr_yield,977
non_irr_yield,977
alf_sales_tons,970
hh_alf_stateirr_irr_yield_tons_per_acre_method_gravity,963
hh_alf_methods_irr_yield_tons_per_acre_method_gravity,963
hh_alf_stateirr_non_irr_yield_tons_per_acre_status_any_on_operation,959
hh_alf_stateirr_non_irrigated_acres_status_any_on_operation,959
hh_alf_methods_non_irr_yield_tons_per_acre_status_any_on_operation,959
hh_alf_stateirr_irrigated_acres_method_gravity,943
hh_alf_stateirr_water_applied_af_acre_method_gravity,943
hh_alf_methods_water_applied_af_acre_method_gravity,943
hh_alf_stateirr_irr_yield_tons_per_acre_method_pressure,937
hh_alf_methods_irr_yield_tons_per_acre_method_pressure,937
hh_alf_stateirr_irrigated_acres_source_off_farm,936
hh_alf_stateirr_irr_yield_tons_per_acre_total,932
hh_alf_methods_irr_yield_tons_per_acre_total,932
hh_alf_stateirr_irrigated_acres_source_on_farm_surface,925
hh_alf_stateirr_irrigated_acres_source_ground,920
hh_alf_stateirr_irrigated_acres_method_pressure,908
hh_alf_stateirr_water_applied_af_acre_method_pressure,908
hh_alf_methods_water_applied_af_acre_method_pressure,908
hh_alf_stateirr_irrigated_acres_total,900
hh_alf_stateirr_water_applied_af_acre_total,900
hh_alf_methods_water_applied_af_acre_total,900
haylage_irrigated_acres,844
haylage_irrigated_ops,844
irrigated_acres,802
non_irrigated_acres,802
hh_alf_stateirr_alf_yield_tons_per_acre_total,629
hh_alf_methods_alf_yield_tons_per_acre_total,629
haylage_acres,509
haylage_production,509
irr_share,500
avg_exp_rate,348
Export_Value,251
export_usd,251
alf_price_usd_ton,118
hay_alf_usd_usda,118
hay_alf_usd_calc,118
hay_alf_usd,118
alf_acres,95
alf_yield,95
alf_production,89
alf_spei_mean,0
west,0
midwest,0
