"Data generated on Saturday, April 4, 2026 at 4:11:54 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,,,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Jan - Feb 2025,Jan - Feb 2026,,
,U.S. State,,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","West","1","World Total","1","121410","Alfalfa Meal & Pellets","27,430","23,625","29,210","32,165","35,028","45,533","44,119","61,258","59,619","66,209","59,986","73,688","66,000","44,055","43,280","56,345","45,303","44,949","40,794","35,385","27,269","7,271","4,087","-44","R04","R00","121410",
"1.1","Washington","1","World Total","1","121410","Alfalfa Meal & Pellets","15,179","14,398","19,092","18,161","22,966","20,287","18,873","23,449","20,703","25,557","22,721","29,332","27,312","20,029","18,924","18,142","21,427","22,312","24,331","17,077","15,620","3,358","2,158","-36","WA","R00","121410",
"1.2","California","1","World Total","1","121410","Alfalfa Meal & Pellets","7,210","5,737","7,717","10,807","6,199","18,941","20,169","33,224","33,828","36,208","34,258","34,736","24,138","17,626","17,574","27,724","20,749","21,347","13,176","13,945","9,824","3,559","1,336","-62","CA","R00","121410",
"1.3","Nevada","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","126","0","28","1,166","546","847","329","356","0","668","914","562","1,159","2,976","700","527","876","2,185","1,151","321","169","-47","NV","R00","121410",
"1.4","Oregon","1","World Total","1","121410","Alfalfa Meal & Pellets","1,920","1,341","432","718","3,416","1,817","1,246","1,647","3,398","3,225","2,262","6,372","6,210","1,935","260","492","899","318","898","881","322","0","348","","OR","R00","121410",
"1.5","Idaho","1","World Total","1","121410","Alfalfa Meal & Pellets","2,227","1,864","1,015","989","939","1,108","691","638","422","143","12","5","0","0","10","182","123","247","181","105","174","0","0","","ID","R00","121410",
"1.6","Utah","1","World Total","1","121410","Alfalfa Meal & Pellets","893","284","827","1,489","1,481","2,215","2,458","1,442","922","695","680","1,707","1,311","740","1,729","594","468","180","335","426","151","21","68","231","UT","R00","121410",
"1.7","Arizona","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","0","0","0","0","0","0","7","833","6,088","3,162","3,602","6,227","928","18","903","766","27","12","8","-37","AZ","R00","121410",
"1.8","Colorado","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","0","0","137","10","17","25","46","34","29","0","22","9","9","0","93","0","0","0","0","","CO","R00","121410",
"2","South","1","World Total","1","121410","Alfalfa Meal & Pellets","407","87","955","289","775","93","55","174","90","217","165","25","12","8","65","28","271","228","217","2,409","2,295","352","276","-22","R03","R00","121410",
"2.1","Alabama","1","World Total","1","121410","Alfalfa Meal & Pellets","5","17","8","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","138","2,158","1,936","131","262","101","AL","R00","121410",
"2.2","Texas","1","World Total","1","121410","Alfalfa Meal & Pellets","286","70","897","272","167","23","0","0","0","0","0","0","0","0","0","0","14","47","0","167","221","221","0","","TX","R00","121410",
"2.3","Florida","1","World Total","1","121410","Alfalfa Meal & Pellets","37","0","10","17","23","27","8","34","3","4","34","15","0","0","5","3","0","3","21","20","96","0","0","","FL","R00","121410",
"2.4","Georgia","1","World Total","1","121410","Alfalfa Meal & Pellets","80","0","12","0","26","0","23","0","45","146","131","0","0","0","34","25","28","60","58","64","43","0","14","","GA","R00","121410",
"2.5","Arkansas","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","0","0","0","96","41","61","0","0","0","0","0","0","0","0","0","0","0","0","0","","AR","R00","121410",
"2.6","Kentucky","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","0","0","0","0","0","0","0","10","12","0","0","0","228","118","0","0","0","0","0","","KY","R00","121410",
"2.7","Louisiana","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","0","0","0","44","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","","LA","R00","121410",
"2.8","North Carolina","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","21","35","24","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","","NC","R00","121410",
"2.9","Oklahoma","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","0","0","0","0","0","0","0","0","","OK","R00","121410",
"2.10","South Carolina","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","SC","R00","121410",
"2.11","Virginia","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","537","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","VA","R00","121410",
"3","Northeast","1","World Total","1","121410","Alfalfa Meal & Pellets","512","135","4","46","26","60","11","19","93","38","27","65","55","40","12","46","0","36","20","47","129","38","14","-62","R01","R00","121410",
"3.1","New York","1","World Total","1","121410","Alfalfa Meal & Pellets","12","0","0","35","0","4","0","19","79","13","0","0","17","8","8","43","0","24","20","33","129","38","14","-62","NY","R00","121410",
"3.2","Connecticut","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","0","0","0","0","0","0","0","0","31","31","0","0","0","0","0","3","0","0","0","","CT","R00","121410",
"3.3","New Hampshire","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","","NH","R00","121410",
"3.4","New Jersey","1","World Total","1","121410","Alfalfa Meal & Pellets","500","135","4","0","0","10","8","0","11","6","7","32","0","0","4","3","0","4","0","0","0","0","0","","NJ","R00","121410",
"3.5","Pennsylvania","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","11","26","46","3","0","3","19","20","33","7","0","0","0","0","0","0","11","0","0","0","","PA","R00","121410",
"3.6","Vermont","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","","VT","R00","121410",
"4","Midwest","1","World Total","1","121410","Alfalfa Meal & Pellets","256","582","244","1,803","650","1,182","317","278","312","341","304","672","614","680","108","410","116","197","130","24","31","0","9","","R02","R00","121410",
"4.1","Iowa","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","259","0","0","0","0","0","0","0","0","0","10","8","21","38","57","25","6","19","0","0","","IA","R00","121410",
"4.2","Nebraska","1","World Total","1","121410","Alfalfa Meal & Pellets","172","245","87","741","300","57","20","0","0","15","26","48","114","70","93","384","55","134","72","0","9","0","9","","NE","R00","121410",
"4.3","Ohio","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","533","0","694","129","130","49","156","205","18","70","0","4","5","0","0","13","0","3","0","0","","OH","R00","121410",
"4.4","Illinois","1","World Total","1","121410","Alfalfa Meal & Pellets","6","0","7","14","0","0","0","0","13","0","0","55","0","0","4","0","19","5","12","0","0","0","0","","IL","R00","121410",
"4.5","Kansas","1","World Total","1","121410","Alfalfa Meal & Pellets","34","86","0","29","27","37","14","18","0","8","0","0","0","4","0","0","4","0","0","0","0","0","0","","KS","R00","121410",
"4.6","Michigan","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","80","271","55","48","101","0","0","32","0","110","0","0","0","0","0","0","0","0","0","","MI","R00","121410",
"4.7","Minnesota","1","World Total","1","121410","Alfalfa Meal & Pellets","43","30","9","77","84","104","63","82","149","162","73","15","5","0","0","0","0","0","0","0","0","0","0","","MN","R00","121410",
"4.8","Missouri","1","World Total","1","121410","Alfalfa Meal & Pellets","0","4","9","25","116","19","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","MO","R00","121410",
"4.9","North Dakota","1","World Total","1","121410","Alfalfa Meal & Pellets","0","151","62","66","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","ND","R00","121410",
"4.10","South Dakota","1","World Total","1","121410","Alfalfa Meal & Pellets","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","19","0","0","0","","SD","R00","121410",
"4.11","Wisconsin","1","World Total","1","121410","Alfalfa Meal & Pellets","0","46","71","58","42","0","0","0","0","0","0","503","425","487","0","0","0","0","0","0","0","0","0","","WI","R00","121410",
"5","Miscellaneous Per UST","1","World Total","1","121410","Alfalfa Meal & Pellets","0","0","0","0","8","9","32","24","3","6","3","17","25","10","0","6","9","18","14","25","15","0","10","","R99","R00","121410",
"","Grand Total","","","","","","28,605","24,428","30,413","34,303","36,487","46,878","44,533","61,753","60,116","66,812","60,485","74,466","66,706","44,793","43,466","56,835","45,698","45,427","41,175","37,890","29,739","7,660","4,397","-43",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data, U.S. State Export Data"
"2. Product Group : BICO-HS6"
"3. See the limitations of the United States State Export Data at http://www.fas.usda.gov/gats/help.htm#USState_Limitations"
